Fri Jul 24 17:25:37 UTC 2015,24,500,94756735,100959326,107313675,176683820
Fri Jul 24 17:26:48 UTC 2015,24,500,99330534,107135463,118652885,247650849
Fri Jul 24 17:28:05 UTC 2015,24,500,125900117,137938489,152953664,268696641
Fri Jul 24 17:29:15 UTC 2015,24,500,96474037,102322528,107502341,208714829
Fri Jul 24 17:30:30 UTC 2015,24,500,139143257,150570637,165079582,353030552
Fri Jul 24 17:31:43 UTC 2015,24,500,108050371,112797436,117197999,194880881
Fri Jul 24 17:32:59 UTC 2015,24,500,101652516,109801196,117548131,223226964
Fri Jul 24 17:34:16 UTC 2015,24,500,109785471,116147995,150307459,270013017
Fri Jul 24 17:35:28 UTC 2015,24,500,133956509,141957860,154845081,266032347
Fri Jul 24 17:39:19 UTC 2015,24,1000,88716701,96205040,106707986,176880031
Fri Jul 24 17:40:35 UTC 2015,24,1000,94400272,102155854,108472307,207932982
Fri Jul 24 17:41:53 UTC 2015,24,1000,70112758,76698309,94151966,183864862
Fri Jul 24 17:43:24 UTC 2015,24,1000,118143072,125678757,132832927,235225224
Fri Jul 24 17:45:00 UTC 2015,24,1000,77191026,81071973,93928036,154546968
Fri Jul 24 17:46:35 UTC 2015,24,1000,93521163,97308501,101220025,180211910
Fri Jul 24 17:47:55 UTC 2015,24,1000,68760217,74366077,79794897,156099118
Fri Jul 24 17:49:45 UTC 2015,24,1000,125036932,137657369,146784551,287492515
Fri Jul 24 17:51:19 UTC 2015,24,1000,90081155,94810067,99741290,178059078
Fri Jul 24 17:52:40 UTC 2015,24,1000,131707442,140434039,148856261,288098697
Fri Jul 24 17:57:29 UTC 2015,24,2000,78460122,82332002,102693471,199031894
Fri Jul 24 17:59:39 UTC 2015,24,2000,83968559,93982273,109156142,178252052
Fri Jul 24 18:01:53 UTC 2015,24,2000,123729660,131150649,138755769,245564463
Fri Jul 24 18:04:04 UTC 2015,24,2000,100134868,104977074,115898812,198663601
Fri Jul 24 18:06:22 UTC 2015,24,2000,107006062,113747639,120747933,224617796
Fri Jul 24 18:08:29 UTC 2015,24,2000,93407997,97033861,116694395,255492323
Fri Jul 24 18:10:40 UTC 2015,24,2000,74233736,78040768,82360825,164489852
Fri Jul 24 18:12:53 UTC 2015,24,2000,120108278,128224076,147419119,288431481
Fri Jul 24 18:14:54 UTC 2015,24,2000,104537211,132517254,154710763,244713753
Fri Jul 24 18:17:02 UTC 2015,24,2000,94415663,99858125,117990462,240954194
Fri Jul 24 18:23:39 UTC 2015,24,4000,83903447,89568093,97297110,201788063
Fri Jul 24 18:27:54 UTC 2015,24,4000,327861616,338314387,350731355,497838201
Fri Jul 24 18:32:02 UTC 2015,24,4000,85695092,89587502,98153374,200459158
Fri Jul 24 18:36:08 UTC 2015,24,4000,102714084,112348525,135745546,240981142
Fri Jul 24 18:40:16 UTC 2015,24,4000,84423505,91603271,99251882,188088185
Fri Jul 24 18:44:31 UTC 2015,24,4000,123316996,136420814,147451256,257323694
Fri Jul 24 18:48:27 UTC 2015,24,4000,93854139,102231214,124564856,220046800
Fri Jul 24 18:52:33 UTC 2015,24,4000,172378107,183828250,199241426,347931937
Fri Jul 24 18:56:32 UTC 2015,24,4000,77506087,83731632,90270308,176411962
Fri Jul 24 19:00:43 UTC 2015,24,4000,93139169,107404878,112215949,195396930
Fri Jul 24 19:13:48 UTC 2015,24,8000,149731109,157025730,164253767,435122648
Fri Jul 24 19:24:12 UTC 2015,24,8000,79621958,86949029,91778720,181437991
Fri Jul 24 19:34:45 UTC 2015,24,8000,125173750,134467684,143778374,300596507
Fri Jul 24 19:45:32 UTC 2015,24,8000,98577069,102346258,107481322,203589112
Fri Jul 24 19:56:17 UTC 2015,24,8000,95448297,99521966,104406935,187523830
Fri Jul 24 20:06:35 UTC 2015,24,8000,80862192,86767760,92314844,180959400
Fri Jul 24 20:16:51 UTC 2015,24,8000,106164053,112266160,118264203,198951942
Fri Jul 24 20:27:41 UTC 2015,24,8000,75233194,79046337,83127114,161071132
Fri Jul 24 20:38:25 UTC 2015,24,8000,115453338,125584672,133321847,232139321
Fri Jul 24 20:48:48 UTC 2015,24,8000,121246080,127560776,137196791,242019282
Fri Jul 24 21:25:12 UTC 2015,24,16000,136996373,146992472,157804217,241535661
Fri Jul 24 21:59:07 UTC 2015,24,16000,110357476,114625483,118618338,448004530
Fri Jul 24 22:33:00 UTC 2015,24,16000,77789485,82500706,87830507,191637561
Fri Jul 24 23:06:44 UTC 2015,24,16000,79670776,87589244,93425148,169925919
Fri Jul 24 23:40:59 UTC 2015,24,16000,87827845,92611013,96610906,216894763
Sat Jul 25 00:15:12 UTC 2015,24,16000,202466041,213995969,225394257,348202615
Sat Jul 25 00:49:43 UTC 2015,24,16000,142185219,147983300,153484674,228170092
Sat Jul 25 01:23:09 UTC 2015,24,16000,143142893,152253365,176295324,313676399
Sat Jul 25 01:57:07 UTC 2015,24,16000,123671144,135991787,146195549,258368207
Sat Jul 25 02:31:13 UTC 2015,24,16000,57500761,61089473,64506645,126850065
Sat Jul 25 04:56:04 UTC 2015,24,32000,79370855,84245085,90009337,234791916
Sat Jul 25 07:18:11 UTC 2015,24,32000,155729291,162612450,170005180,339150533
Sat Jul 25 09:39:55 UTC 2015,24,32000,182694876,195510392,207743171,359683477
Sat Jul 25 12:02:55 UTC 2015,24,32000,128587943,143397585,154025365,287114003
Sat Jul 25 14:25:08 UTC 2015,24,32000,131752810,140877600,148659936,318802919
Sat Jul 25 16:48:01 UTC 2015,24,32000,163719667,182972206,198184502,358439598
Sat Jul 25 19:10:42 UTC 2015,24,32000,98021614,103320784,115747615,234978291
Sat Jul 25 21:33:44 UTC 2015,24,32000,173246697,183908229,199200428,324775191
Sat Jul 25 23:56:38 UTC 2015,24,32000,181340324,187995043,199749003,387572472
Sun Jul 26 02:19:52 UTC 2015,24,32000,171495183,182510623,192791239,341789180
Sun Jul 26 14:39:19 UTC 2015,24,64000,103239278,109746363,128108221,213351062
Mon Jul 27 02:55:03 UTC 2015,24,64000,130241106,137988682,158997644,296801202
