Mon Jul 27 08:18:55 UTC 2015,24,500,233471147,233471191,233471197,233471337,233535460
Mon Jul 27 08:20:15 UTC 2015,24,500,233553231,233553296,233553303,233553403,233615230
Mon Jul 27 08:21:30 UTC 2015,24,500,233635786,233635832,233635838,233635926,233690268
Mon Jul 27 08:22:43 UTC 2015,24,500,233711810,233711851,233711855,233711970,233762876
Mon Jul 27 08:23:59 UTC 2015,24,500,233782311,233782329,233782333,233782404,233838737
Mon Jul 27 08:27:48 UTC 2015,24,1000,234003259,234003352,234003358,234003460,234067768
Mon Jul 27 08:29:13 UTC 2015,24,1000,234087759,234087783,234087787,234087881,234153299
Mon Jul 27 08:30:53 UTC 2015,24,1000,234173556,234173575,234173578,234173654,234252873
Mon Jul 27 08:32:25 UTC 2015,24,1000,234272831,234272869,234272877,234272937,234345072
Mon Jul 27 08:33:44 UTC 2015,24,1000,234366262,234366311,234366333,234366471,234423962
Mon Jul 27 08:38:13 UTC 2015,24,2000,234582542,234582581,234582586,234582686,234693223
Mon Jul 27 08:40:17 UTC 2015,24,2000,234713981,234714036,234714042,234714124,234817106
Mon Jul 27 08:42:25 UTC 2015,24,2000,234837916,234837991,234838014,234838123,234944880
Mon Jul 27 08:44:35 UTC 2015,24,2000,234965365,234965427,234965431,234965494,235075029
Mon Jul 27 08:46:46 UTC 2015,24,2000,235096200,235096273,235096277,235096375,235206117
Mon Jul 27 08:53:02 UTC 2015,24,4000,235357931,235357969,235357975,235358069,235582554
